reviewId,content,score,gender,location,date,Pos: Buen modo free,Pos: conocer gente,Pos: Encontrar el amor,Pos: Mejores match con mujeres,"Pos: Fácil de usar, buena interfaz",Cluster_asignado,City,Country,Grupo_Sentimiento,Nombre_Topico
64a6df85-695d-4295-9c70-d0d81c0354d9,The verification it doesn't work I've been taking pictures for a week none of them work and nobody gets back to you it's no communication with the verification when you have to contact somebody you can't contact nobody never get back so it's a feature that's just not even worth it does not work,4,male,"Monterrey, Mexico",2022-12-30,0.0127,0.0113,0.0153,0.9499,0.0108,3,Monterrey,Mexico,Positivo,Para hacer amigos
6f687a49-0d68-4b3b-9d5b-a8e56628d0b3,It's annoying that even after you pay they still keep hitting you with pop ups to buy something else. Also way too easy to swipe left or right when scrolling down.,4,male,"Zurich, Switzerland",2021-03-30,0.6983,0.0154,0.0209,0.2506,0.0148,0,Zurich,Switzerland,Positivo,Útil para viajar
08d5d1b5-537c-4b02-8961-263ed28bd24c,need to hav some free trial days,4,male,"Dublin, Ireland",2021-09-22,0.5219,0.0242,0.0328,0.3979,0.0232,0,Dublin,Ireland,Positivo,Útil para viajar
bac8e909-ffc2-4ff0-b18d-ec6774e8ec06,it's a good app my only complaint is that premium is a bit too expensive,4,female,"Brasília, Brazil",2023-04-10,0.0273,0.0242,0.0328,0.8926,0.0232,3,Brasília,Brazil,Positivo,Para hacer amigos
d6ee2b67-a2cd-484e-a059-d3eaea208ee9,I need an app to download my state ID and an Android phone,4,female,"Canberra, Australia",2023-11-22,0.7308,0.0565,0.0766,0.0819,0.0541,0,Canberra,Australia,Positivo,Útil para viajar
fd5e3560-5387-458a-a089-9fb95c5ce1de,"Quite good app overall, just i wander if the women knows they must talk first on this app, because many are matching with you and dont talk at all, what is the point honesty ? I suggest for women profiles a regular reminder of how it works",4,male,"Cairo, Egypt",2022-09-01,0.0127,0.0113,0.0153,0.9499,0.0108,3,Cairo,Egypt,Positivo,Para hacer amigos
aedb50a7-29fc-4b7c-839f-0d1b25888e94,It's good! but should be used in big cities where you'll get more matches,4,female,"Port Moresby, Papua New Guinea",2023-11-26,0.0382,0.0339,0.0459,0.0492,0.8328,4,Port Moresby,Papua New Guinea,Positivo,Casos de éxito / Ayuda
42971669-3a46-419e-8a87-53aef39c5c6a,"Thanks for refund, I'll try to buy again",4,male,"Vienna, Austria",2021-09-28,0.5166,0.0339,0.3678,0.0492,0.0325,0,Vienna,Austria,Positivo,Útil para viajar
c00cd6bf-4c06-47e8-b539-5ed434537887,just started using. can it help me become President?,4,male,"Amsterdam, Netherlands",2021-04-27,0.0382,0.0339,0.0459,0.8495,0.0325,3,Amsterdam,Netherlands,Positivo,Para hacer amigos
32d4445e-a77f-49d5-927e-a82fd2e29d9c,"would be great if you can see the chat and profile after someone unmatches you, so you know who it is. now sometimes it's not easy to remember who unmatched you.",4,male,"Helsinki, Finland",2021-03-26,0.4096,0.013,0.0177,0.5472,0.0125,3,Helsinki,Finland,Positivo,Para hacer amigos
94367c5e-2838-482f-a30f-b5dbc32e0549,"Have the premium version, but I guess the app kicked me out of it for some reason?",4,male,"Monterrey, Mexico",2022-09-29,0.0636,0.0565,0.0766,0.7492,0.0541,3,Monterrey,Mexico,Positivo,Para hacer amigos
397538cb-17c3-48bf-a4d6-c8474248d74f,App UI is super cool and easy. App has decent no of profiles too. Pricing is little bit complicated. Even after you purchase premium you have to pay for complements.,4,male,"Zurich, Switzerland",2021-08-02,0.0112,0.01,0.0135,0.9558,0.0095,3,Zurich,Switzerland,Positivo,Para hacer amigos
3ea264ab-1d59-418a-96a7-5e005fc741f7,Honesty despite some flaws this is probably the best dating app for people looking for a relationship.,4,male,"Berlin, Germany",2021-09-17,0.0273,0.5705,0.344,0.0351,0.0232,1,Berlin,Germany,Positivo,Cara pero funciona
c758bce0-011a-4257-9777-849bb41c33ad,"it's a good dating app with state of the art UI(interface) but I don't like the idea if matching with someone and the girl must initiate conversation and that within 42hrs maximum.It is also too costly,I thought tinder was most costly until I got to use bumble. Overall its okay,if u stick with it long enough.",4,male,"San Jose, United States",2022-10-12,0.1977,0.5009,0.0153,0.2752,0.0108,1,San Jose,United States,Positivo,Cara pero funciona
0c8d7d8d-4c07-4917-8f85-dccf71227d6f,I am unable to recharge and i receive a mesage which however is not helpful,4,male,"Amsterdam, Netherlands",2021-09-15,0.7309,0.0565,0.0766,0.0819,0.0541,0,Amsterdam,Netherlands,Positivo,Útil para viajar
5a3a8b54-235f-47f7-a8f5-1895c1cdef61,"Love this App. Speed dating is great idea.. would be nice to limit age, ethnicity, location etc for speed dates...",4,female,"Arequipa, Peru",2023-06-08,0.9379,0.013,0.0177,0.0189,0.0125,0,Arequipa,Peru,Positivo,Útil para viajar
3a88097a-3a5d-470a-a048-ac26ecda3a98,Met a hot girl who's into ME!,4,male,"Shanghai, China",2022-04-08,0.0382,0.8343,0.0459,0.0491,0.0325,1,Shanghai,China,Positivo,Cara pero funciona
3416f040-e665-4df6-8668-6fb28b92fa0b,"It's a pretty solid dating app overall. I bought lifetime premium bc f*** it why not. Honestly, I don't regret the purchase. That said, I do think you should be able to undo likes. I promise you it's so much worse of a feeling to match with someone only to be instantly unmatched bc the person simply couldn't undo their like.",4,male,"Dakar, Senegal",2022-07-28,0.4483,0.0089,0.0121,0.5222,0.0085,3,Dakar,Senegal,Positivo,Para hacer amigos
402cc194-d2e3-4240-b3b0-a02196c1fe59,so far so good. I am trying this for the new year.,4,male,"Seattle, United States",2022-11-01,0.0212,0.9079,0.0255,0.0273,0.018,1,Seattle,United States,Positivo,Cara pero funciona
0b27bee3-46da-4d3c-911c-049c9e2501d8,"I bought premium. Pros: - ""Free"" boost every week or so (if you can call it free) - App will automatically use boost during peak times - Good filter options and have the ability to ""show other people if you run out."" Giving the option the have strict or flexible filter - ""Free"" super swipes Cons - Compliments: These effectively let you message someone whilst directly referencing a prompt or image in the person's profile. It used to be Free but now is behind a pay wall... Even as premium user.",4,male,"New York, United States",2023-02-19,0.6445,0.0039,0.0053,0.3425,0.0038,0,New York,United States,Positivo,Útil para viajar
ccf800ea-6b6c-45c4-99ab-b51a35a4fdda,This app is definitely better than all the others I've tried. Facebook dating is the only one that would come close. I pay for premium which is a little pricey for what you get but overall I'm satisfied.,4,male,"Seoul, South Korea",2021-12-24,0.0127,0.0113,0.0153,0.9499,0.0108,3,Seoul,South Korea,Positivo,Para hacer amigos
dec500b6-6294-42e2-a8ac-601435a3928b,"The app is easy to use and has the added bonus of removing those you dismissed from your potential matches. Yet, it is annoying being constantly reminded that you should upgrade to a premium subscription.",4,male,"Tijuana, Mexico",2022-11-03,0.0173,0.0154,0.0209,0.7371,0.2093,3,Tijuana,Mexico,Positivo,Para hacer amigos
ff522cd1-4c21-4b86-aa30-08bd5bb1b219,These guys are cheaters... after receiving the payment they didn't activate my premium membership 😡😡...,4,male,"Geneva, Switzerland",2021-09-26,0.2741,0.0188,0.0255,0.6635,0.018,3,Geneva,Switzerland,Positivo,Para hacer amigos
f89607a7-17f6-4e71-90fc-5c17f66a2cd3,"It seems legitimate dating site, but still have not gotten a match, which as an average guy is no shock.",4,male,"Berlin, Germany",2021-10-06,0.0272,0.0242,0.8902,0.0351,0.0232,2,Berlin,Germany,Positivo,Fácil de usar
44d729ed-3efc-482b-8043-8803b05a16b0,works pretty well but a bit annoying having premium shoved in your face every few minutes.,4,female,"Gold Coast, Australia",2023-11-10,0.0212,0.0188,0.0255,0.9164,0.018,3,Gold Coast,Australia,Positivo,Para hacer amigos
c16ef2cf-d235-401d-8fdf-45efd9dba315,"At the bigining, Bumble was great Now, it is getting better and better again than couple years ago .",4,male,"Athens, Greece",2021-05-14,0.0382,0.0339,0.0459,0.8495,0.0325,3,Athens,Greece,Positivo,Para hacer amigos
daad8afc-d213-457a-83ab-428093255f50,It's amazing I haven't use it for long but it's going well so far,4,male,"Mombasa, Kenya",2022-07-02,0.0212,0.347,0.0255,0.5883,0.018,3,Mombasa,Kenya,Positivo,Para hacer amigos
5687e0db-fb7c-4ba1-afd6-61d50f3e9bca,"nice, great way to meet like minded, interested woman",4,male,"Medellín, Colombia",2023-03-16,0.0382,0.0339,0.8463,0.0491,0.0325,2,Medellín,Colombia,Positivo,Fácil de usar
0f6d7460-9262-4a4f-88c1-6630471f3fb2,"Met a good friend on here, tho nobody else ever talked to me so good luck with dating or friendship making",4,male,"Casablanca, Morocco",2022-07-07,0.0212,0.0188,0.9146,0.0273,0.018,2,Casablanca,Morocco,Positivo,Fácil de usar
f7e701e2-06f4-4ee6-919a-1271ac6fa0a1,"Pay wall expensive but very fluid app. See if it's productive. If I meet some people for my desired reasons, I come back and change it to 5*",4,female,"Cali, Colombia",2023-05-08,0.7107,0.01,0.2553,0.0145,0.0095,0,Cali,Colombia,Positivo,Útil para viajar
dcc7622b-34bd-4c1e-bf8a-8cb00ed9baca,Women must talk to me first. W,4,male,"Rio de Janeiro, Brazil",2023-03-20,0.0273,0.0242,0.0328,0.8925,0.0232,3,Rio de Janeiro,Brazil,Positivo,Para hacer amigos
aec5266c-aa68-4a9b-9ae3-607ee1c7a8dc,This app is great and I enjoyed my experience using it and hope it adds more filters to make searching for the one easier,4,female,"Guayaquil, Ecuador",2023-04-21,0.0382,0.0339,0.8463,0.0492,0.0325,2,Guayaquil,Ecuador,Positivo,Fácil de usar
b743d5f3-ef2e-405c-bc2a-dde229b48fba,The likes should be increased and subscription shouldnt be only through card alone but also with transfers to a particular account,4,female,"Suva, Fiji",2023-09-04,0.0273,0.0242,0.0328,0.8925,0.0232,3,Suva,Fiji,Positivo,Para hacer amigos
1712aef8-1934-4ca2-a925-3dc109603611,"I've had bumble before so I know it's decent, but I'm having a problem, (which I'm not sure if it's my device or the app.) When I click ""continue with Facebook"" it takes me to a white screen, then another that loads for a few seconds before closing both and bringing me back to the first screen.",4,male,"Budapest, Hungary",2021-07-10,0.0127,0.0113,0.0153,0.9499,0.0108,3,Budapest,Hungary,Positivo,Para hacer amigos
d54c7d9b-e970-4039-8a05-f86b0c69f598,"It's actually refreshing to have women making the first move. However, 24 hours to respond is not enough time. And I haven't been able to send any compliments on a long time.",4,male,"Medellín, Colombia",2023-03-11,0.6995,0.1069,0.0121,0.1729,0.0085,0,Medellín,Colombia,Positivo,Útil para viajar
7079fedb-e400-4748-b533-c071548cb9c9,Haven't got match so far but so far so good,4,male,"Dallas, United States",2023-02-24,0.0272,0.6608,0.0328,0.2559,0.0232,1,Dallas,United States,Positivo,Cara pero funciona
77ae9a5b-7f68-430f-8b8e-0ed5ce710496,Did I want to pay for message someone,4,male,"Monterrey, Mexico",2023-01-23,0.8847,0.0242,0.0328,0.0351,0.0232,0,Monterrey,Mexico,Positivo,Útil para viajar
a330dcdf-c408-4ad1-b3d9-f0432671d765,Bumble has a been go to dating app for awhile. I've enjoyed the experiences I've had because of it. I'd say hinge is honestly alot better in my opinion regarding conversating and matching with real people and not trash only fans women lol. Anywho I strongly suggest the option for a filter to take Trans out of out swiping pool. When I say I'm looking for a woman I want a woman not Trans woman man. Smfh. I respect Trans but im not looking for a Trans women so give us a filter option for that lol.,4,male,"Harare, Zimbabwe",2022-06-03,0.9803,0.0041,0.0056,0.006,0.004,0,Harare,Zimbabwe,Positivo,Útil para viajar
14c24020-79c0-4459-9e32-1ddc88a2a7fe,Good app functionality. the location algorithm should be improved,4,female,"Córdoba, Argentina",2023-04-10,0.7309,0.0565,0.0766,0.0819,0.0541,0,Córdoba,Argentina,Positivo,Útil para viajar
6a812272-d2df-48c8-ab61-bec18d1f6c68,Good app. Wish there was a way to have a timer to say when you got more likes,4,male,"Athens, Greece",2021-09-16,0.0273,0.0242,0.0328,0.8925,0.0232,3,Athens,Greece,Positivo,Para hacer amigos
5a09bed8-35b2-4a08-b3d4-8c958c817b07,I'm just getting the hang of it ask me again,4,male,"Helsinki, Finland",2021-09-28,0.0382,0.0339,0.0459,0.8495,0.0325,3,Helsinki,Finland,Positivo,Para hacer amigos
fe9fd75a-4902-4f7c-bead-4b504a952b36,"I changed my mind I'll give this a 4 l, my brother found his wife on here, if he can find his Mrs, I sure as hell can, so ladies feel free to message me about anything you wanna know, pics add like 5 lbs to my face, I'm much better looking in person",4,male,"Madrid, Spain",2021-07-20,0.429,0.0074,0.4134,0.1432,0.0071,0,Madrid,Spain,Positivo,Útil para viajar
8ad2e2b4-b28f-4802-8090-06f66314e007,"Over a hundred interests in couple of hours but no match, which leads me to believe that the app intentionally mismatch people so they have to purchase premium. anyone with the same problem? Maybe hundreds are just the norm here.",4,male,"Bali, Indonesia",2022-03-13,0.0127,0.0113,0.4526,0.5125,0.0108,3,Bali,Indonesia,Positivo,Para hacer amigos
35a1ab58-0c1f-49f7-a92e-0f289ff1a85a,Good. But allowing to send one message/compliment to each profile will be appreciated and make me to give 5 stars rating,4,female,"Lima, Peru",2023-04-18,0.6937,0.0154,0.0209,0.2553,0.0148,0,Lima,Peru,Positivo,Útil para viajar
7870c606-1401-4440-9b53-cac306d93ccf,need to be free for few connect,4,male,"Edinburgh, United Kingdom",2021-03-17,0.8385,0.0339,0.0459,0.0491,0.0325,0,Edinburgh,United Kingdom,Positivo,Útil para viajar
80e9ebd2-03a7-4530-8764-c0d074a3e431,"I installed about 5 dating apps recently. Bumble is by far the best. I appreciate the options between BFF and dating, and the profile formats on a phone. in my area Bumble seems to attract a lot of respectful, intelligent, kind, genuine people, once I discern through those I don't want to meet with based on their profiles. I've met up with three people in a month for having the app and they've all been positive experiences!",4,male,"Berlin, Germany",2021-10-27,0.3877,0.0068,0.5892,0.0098,0.0065,2,Berlin,Germany,Positivo,Fácil de usar
02aa7484-9a94-48e7-b141-a9ce2490c4f2,Lovely app! still a bit tough for guys to use in comparison to girls,4,male,"Algiers, Algeria",2022-08-28,0.0272,0.0242,0.0328,0.8926,0.0232,3,Algiers,Algeria,Positivo,Para hacer amigos
04eb5b30-f22a-4135-9cf5-5f6ab486768c,Amazing mingling forum,4,female,"Santa Cruz, Bolivia",2023-06-09,0.0636,0.0565,0.7437,0.0821,0.0541,2,Santa Cruz,Bolivia,Positivo,Fácil de usar
5cbe9338-0809-43b4-bf1c-c95ebc667ba5,"there are a few glitches when in comes to hiding and blocking people, but other than that my experience has beeb good",4,female,"Wellington, New Zealand",2023-09-03,0.0636,0.0565,0.7438,0.0819,0.0541,2,Wellington,New Zealand,Positivo,Fácil de usar
f286dc52-c42e-454d-b6dd-278df2c61ef7,"Bumble has a lot of users, which is good. There isn't a great selection of interests to choose from. Seems like the app developers are woke leftists by some stuff in the app.",4,female,"Suva, Fiji",2024-01-18,0.0272,0.0242,0.0328,0.8925,0.0232,3,Suva,Fiji,Positivo,Para hacer amigos
242c8e34-c60a-429c-a15a-f6525164f958,"it's decent, well it's better than Badoo and hinge",4,male,"Stockholm, Sweden",2021-09-19,0.0636,0.0565,0.7437,0.082,0.0541,2,Stockholm,Sweden,Positivo,Fácil de usar
32d35101-fc97-43d6-9724-01f9e35b62ed,"definitely the most interesting dating app around and I love most, if not all, of the features. for example, it's fun being able to send a compliment on a particular photo or that the girl gets to make the first move (my favorite concept so far). They only allow 5 photos per profile which is nice because I don't have to scroll through 20 photos of people in the same pose (though you can link your Instagram account). Cons are thay the price to unlock all of its features are quite steep.",4,male,"Rome, Italy",2021-09-25,0.4762,0.0058,0.5039,0.0085,0.0056,2,Rome,Italy,Positivo,Fácil de usar
8795d389-8efb-43a9-85a4-6c7e0d45c3fb,"I'm liking the app so far. I've had a few matches and went on 1 date. I'm swipe shy, but there seems to be a lot of people wanting to match with me, so it's good to know there are several people to chose from and get to know. The only thing I don't like is the location setting. I'm an adventurous person and travel often. I'd like to meet someone from where I am from not another country while traveling. So for now I'm forced to place the app on Snooze mode to avoid matching with people while trav",4,male,"Jacksonville, United States",2022-11-28,0.1977,0.0048,0.6742,0.007,0.1163,2,Jacksonville,United States,Positivo,Fácil de usar
0f4b9e52-7365-4ec2-a850-6affccda7845,I've liked this for the most part because it is very simple and easy to use. I'm very 5050 about the whole you only have 24 hours. That is why I'm giving it 4 stars.,4,male,"Cancun, Mexico",2022-09-26,0.0382,0.0339,0.0459,0.8496,0.0325,3,Cancun,Mexico,Positivo,Para hacer amigos
